Fonds ITIE - 4300;BoŒte;Dossier;Pochette;Sous-pochette;Nombre d'UM;Cotation des UM;Dates des UM;Cahiers;Foliation;"Dimensions 
(L x l x h en cm)";Remarques;D‚chirures (strappi) (0-3);Froissures (spiegazzato) (0-3);Lacunes (0-3);Plis (1-3);Perte de souplesse (0-3);Perte de matiŠre (0-3);PoussiŠre depos‚ (0-3);Affaiblessement (0-3);Foxing (0-3);Jaunissement (0-3);Taches (0-3);Degradation due … l'encre (0-3);Mouillure (umidit…) (0-3);Moisissure (0-3);Trou d'insect (0-3);Risque (1-5);;
;;;;;;Ms 4300/27/50/7;17 ? 1642;;2;25 x 18,8;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/8;sans date;;4;25 x 19;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/9;27 ? 1642;;4;24,8 x 18,7;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/10;premier de ? 1642;;1;12,3 x 20;cordelette (avant), parchemin, cachet de cire roug dans du papier;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/11;5 avril 1642;;2;25,5 x 18,7;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/12;sans date;;2;25,7 x 18,5;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/13;2 may 1642;;1;20,8 x 18;cordelette (avant), parchemin, cachet de cire rouge dans du papier;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/14;5 may 1642;;2;24 x 17,6;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/15;1642 8 mai;;2;27,5 x 20,2;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/16;1642 17 mai;;2;27,3 x 20;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/17;sans date;;2;25,7 x 18,4;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/18;1642_mai;;10;25,8 x 18,5;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/51;1624.21 8bre;;25;26,8 x 20,3 x 0,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/52;1624 4.9bre;;2;26,8 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/53;1624 29 9bre;;2;26,5 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/54;1624 12 xbre;;1;17,9 x 16,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/55;1624 22 xbre;;1;24,7 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/56;1624 29 xbre;;2;26,6 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/57;1624;;6;25,5 x 18,2 ;plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/58;1624 vers;;2;24,8 x 18;aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/59;vers 1624;;34;25,3 x 18,6 x 0,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/60;1625 janv 10;;1;34,9 x 23,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/61;1625 20 janv;;2;27,8 x 18,4;aur‚oles, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/62;1625 20 janv;;8;24,8 x 18,8 ;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/63;1625 25 janv;;1;29,1 x 23;d‚formations, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/64;1625 26 janvier;;2;26,4 x 19,5;d‚formations, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/65;1625 31 janv;;2;28,3 x 20,7;d‚formations, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/66;1625 28 fevr;;4;25,7 x 20;aur‚oles, d‚formations, aspect cotonneux, traces d'infestation (galerie, 1 exuvie retrouv‚e);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/67;1625 .3 mars;;4;24,8 x 18,3 ;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/68;1625 mars ;;4;30,9 x 20,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/69;1625 9 mars;;2;24,4 x 18,3;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/70;1625 17 mars;;1;18,5 x 16,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/71;1625 19 mars;;3;26,4 x 20;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/72;16 mars 1625;;4;25,3 x 18,2 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/73;1625_31 mars;;2;24,2 x 18,4;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/74;1625.mars;;3;25,7 x 19,5;aspect cotonneux, lacunes, taches violettes, reli‚ par clou, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/75;1625 5 avril;;4;26,5 x 20 ;aur‚oles, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/76;1625 25 avril;;28;27,2 x 21 x 0,7;plis ,aur‚oles, aspect cotonneux, traces d'infestation (galeries);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/77;1625 25 avril;;8;26,5 x 19,9 ;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/78;1625 6 mai;;2;26 x 19,7;fragile, aspect cotonneux, taches violettes, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/79/1;1625 22 xbre;;6;26,5 x 20,8;aspect cotonneux, taches violettes, lacunes, fragile, d‚chirures, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/79/2;1626 19 xbre;;6;26 x 20,4;aur‚oles, lacunes, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/80;1625 mai 21;;1;33,5 x 23;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/81;1625 mai 21.;;2;33,3 x 23,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/82;1625 mai 22.;;1;17,7 x 23,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/83;1625 28 mai;;2;23,8 x 17,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/84;1625 6 juin;;1;35,4 x 22,9;plis, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/85;1625 juin 9.;;1;37 x 22,8;lacunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/86;1625 juin 15;;2;35,2 x 23,8;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/87;1625 juin 29;;2;35 x 23,5;lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/88;sans date;;1;35 x 23,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/89;1625_1er juillet;;66;27,5 x 20,5 x 1,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/90;1625 juillet 6;;1;35,1 x 23,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/91;1625 juillet 29;;1;33,8 x 23,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/92;sans date ;;1;33,9 x 23,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/93;1625 ao–t 2.;;2;33,8 x 22,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/94;1625 ao–t 2;;2;33,8 x 22,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/95;1625 ao–t 10;;2;35,4 x 23,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/96;1625 ao–t 22.;;2;35,7 x 23,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/97;1625 ao–t 30;;2;30,3 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/98;1625 ao–t 30.;;2;34,3 x 21,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/99;1625 1er 7bre;;1;28,7 x 23,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/100;1625 12 7bre;;2;26,4 x 20,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/101;1625 Sept. 13;;2;33,2 x 21,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/102;1625 Sept. 16;;2;35,6 x 23,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/103;1625 16 7bre;;1;26,9 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/104;1625 Sept 20.;;2;34 x 23,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/105;1625 octobre 14;;2;33,6 x 23,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/106;1625 nov.13;;4;33 x 22,4;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/107;1625 19 9bre;;4;25,5 x 17,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/108;1625 21 9bre;;4;25,7 x 18,2 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/109;1625 nov. 28;;2;35,2 x 13,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/110;1625 29 9bre;;4;24,9 x 18,1 ;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/111;1625 30 xbre;;1;17,6 x 22,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/112;vers 1625;;6;24,4 x 18,6 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/113;1625 ? dec. 15;;2;24,9 x 18,4;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/114;1625 d‚c.17;;3;35,2 x 13,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/115;1625 ?;;2;34 x 23;d‚chirures, d‚formations;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/116;1625;;2;17,6 x 19,8;lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/117;1625_17;;2;35,6 x 23,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/118;1625 ?;;2;35,8 x 22,9;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/119;1625;;2;25 x 18,4;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/120;1625 ?;;1;24,6 x 18,3;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/121;1625;;1;26 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/122;1625;;1;26 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/123;1625;;1;26 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/124;1625;;2;25,2 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/125;1625_1644;;44;33,2 x 22 x 1;;;;;;;;;;;;;;;;;;;
;"4300/28
1626 et 1627";;;;118;Ms 4300/28/1;1626 17 janv;;2;25,7 x 18,6;aspect cotonneux et lacune sur un large coin sup‚rieur gauche;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/2;1626 26 janv;;1;25,8 x 20;petites lacunes et aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/3;1626 janv, 29;;2;35,7 x 23,8;cachet de cire au verso;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/4;1626 31 janv;;2;25,5 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/5;1626 17 fev;;1;26,8 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/6/1;1626 19 fev;;4;28,8 x 20,8;cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/6/2;1626 19 fevr;;4;28,8 x 20,9;cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/6/3;1626 10 mars;;2;25,8 x 20;cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/7;1626 21 fev;;2;26,6 x 19,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/8;1626 8 mars;;2;28,5 x 19,7;aur‚oles et aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/9/1;1626 11 mars;;2;25,7 x 18,3;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/9/2;1626 19 mars;;2;26,8 x 19,5;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/9/3;1626 19 mars;;2;26,7 x 20;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/9/4;1626 25 mars;;2;25,5 x 18,3;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/9/5;1626 27 mai;;2;26,7 x 19,9;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/9/6;2 janv 1627;;4;27 x 19,9;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/10;1626 12 mars;;3;25,4 x 18;lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/11;1626 26 mars;;2;25,7 x 18,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/12;1626 7 avril;;2;25,5 x 17,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/13/1;1626 9 avril;;2;26 x 19,8;ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/13/2;1626 25 mai;;2;26,5 x 19,7;ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/13/3;1626 27 mai;;2;26,5 x 19,7;ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/14;1626 13 avril;;6;26 x 20;fragilit‚ du dernier feuillet;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/15;1626 25 avril;;2;26,6 x 19,7;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/16;1626 27 avril;;2;28,2 x 20,5;lacunes et aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/17;1626 15 mai;;2;33,2 x 22,7;cachet de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/18;1626 24 mai ;;2;32,7 x 21,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/19;1626 26 mai;1;31;26,8 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/20;1626 18 Juin;;1;26,6 x 19,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/21;1626 23 Juin;;2;26,8 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/22/1;1626 24 Juin;;2;26,5 x 19,5;ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/22/2;1626 27 juin;;2;28,5 x 20,2;ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/23;1626 3 Juillet;;19;29,7 x 25,4;Aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/24;1626 10 Juillet;;1;13,6 x 18,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/25;1626 4 Aout;1;14;31 x 21,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/26;1626 Juillet 9;;2;30 x 19,8;cachet de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/27;1626 Aout 13;;1;27,9 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/28;1626 Aout 13;;2;30,5 x 21,3;Cachet de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/29;1626 20 Aout;;2;24,7 x 18,1;Lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/30;1626 31 Aout;;1;25,7 x 18,5;Cachet de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/1;1626 5 7bre;;2;27,8 x 18,3;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/2;24 juin 1632;;8;29,2 x 21,1;Ficelle (avant), reli‚ avec clou;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/3;1640 21 aout;1;22;24,4 x 17,9;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/4;21 ? 1642;;2;24,5 x 18;Ficelle (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/5;9 juillet 1642;1;12;24,2 x 18,4;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/6;1643;;4;20,8 x 16,7;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/7;sans date;;4;20,9 x 15,4;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/8;sans date;;4;21,4 x 15,3;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/9;1644 11 Juillet;;4;30 x 18,8;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/10;1644 ?;;2;29,8 x 18,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/11;1644 11 juillet;;9;33,3 x 21,8;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/12;26 xbre 1644;;4;24 x 18,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/13;1645 9 Janv;;14;33,2 x 23;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/14;sans date;;1;12,5 x 18;Ficelle (avant), reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/15;sans date;;1;25 x 17,9;Ficelle (avant), reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/16;1645 12 Janv;;4;33 x 21,8;Ficelle (avant), reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/17;1645 9 mai;;2;29,3 x 18,8;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/18;sans date;;2;24,5 x 18,4;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/31/19;1647_15 avril;;1;13 x 18,7;Ficelle (avant), parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/32;1626 13 9bre;;1;16,9 x 23,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/33;1626 13 9bre;;2;26,4 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/34;1626 26 Novbre;;4;24,9 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/35;1626 6 xbre;;2;36,9 x 23,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/36;1626 12 xbre;;1;17,1 x 22,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/37;1626 19 xbre;;1;13,3 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/38;1626 27 xbre;;2;26,7 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/39;1627 18 Janv;;1;26,8 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/40/1;1627 18 Janv;;2;27,8 x 20,4;Attach‚ par une ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/40/2;1627 27Juillet;;2;27,7 x 20,2;Attach‚ par une ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/41;1627 28 Janv;;4;28,9 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/42;1627 23 Janvier;;2;26,1 x 20;Au‚oles et aspet cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/43;6 fev 1627-1630;;6;29,5 x 20,3;Attach‚ par un clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/44;1627 13 Fev;;2;26,9 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/45/1;1627 18 Fev;;2;26,3 x 19,8;Rattach‚ par un clou (avant), aspect cotonneux, lacunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/45/2;1627 1er mars;;2;25,8 x 19,7;Rattach‚ par un clou (avant), aspect cotonneux, lacunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/45/3;1627 1er mars;;2;26,4 x 19,7;Rattach‚ par un clou (avant), aspect cotonneux, lacunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/46;1627 5 Mars;;2;26,5 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/47;1627 5 Mars;;4;30,1 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/48;1627 22 Mars;;2;26,5 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/49;1627 24 Mars;;5;26,7 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/50;1627 30 Mars;;2;26,5 x 19,8;Lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/51;5 Avril 1627;;1;24,9 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/52/1;1627 6 Avril;1;6;25,3 x 18,6;ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/52/2;1628 13 fevr;1;6;26 x 20,2;ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/52/3;1630 4 aout;1;10;25,3 x 18,4;ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/53;1627 avril 14;;1;26 x 19,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/54;1627 21 avril;;4;26 x 19,4;Aspect cotonneux, aur‚oles, feuillets attach‚s par une ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/55;1627 21 Avril;;3;25 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/56;1627 21 Avril;;6;27,2 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/57;1627 27 Avril;;1;25,3 x 18,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/58;1627 12 Mai;;1;12,7 x 18,7;Lacune bord gauche;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/59;1626 29 Mai ;;2;26,2 x 19,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/60;1627 31 Mai;;10;26,8 x 20,7;Aspect cotonneux, aur‚oles (anciennes moisissures);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/61;1627 31 Mai;;3;31,8 x 21;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/62;1627 Mai;;1;26 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/63;1627 1er Juillet;;1;26,2 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/64/1;1627 1er Juillet;;1;19,7 x 25,5;ficelle rose (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/64/2;1627 1 Juillet;;1;15 x 22,2;Ficelle rose (avant), parchemin, cachet de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/64/3;162 2 Juillet;;2;26,5 x 19,8;ficelle rose (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/65/1;1627 25 Aout;;3;24,7 x 18,4;Attach‚ par une ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/65/2;vers 1627;;5;24,4 x 18;Attach‚ par une ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/65/3;1627.;;4;34 x 23,8;Attach‚ par une ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/65/4;1627;;4;34 x 24,2;Attach‚ par une ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/66;1627 25 Aout;;3;23,9 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/67;1627 26 aout;;4;31,4 x 21,3;Attach‚ par une ficelle rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/68;1627 29 Aout;;4;26,8 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/69;1627 23 8bre;;2;25,4 x 18,3;Grande d‚chirure au verso du feuillet 2;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/70;1627 31 xbre;;1;25,6 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/71/1;1627 13 9bre;;1;25 x 18,7;Attach‚ avec un clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/71/2;1627 13 9bre;;1;25 x 18,5;Attach‚ avec un clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/72;1627 13 xbre;;2;25,5 x 18,2;Aspect cotonneux, lacune bord droit;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/73;1627 18 xbre;;1;17,5 x 22,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/74;1627 18 xbre;;2;26,2 x 19,3;Aspect cotonneux, lacune bord gauche;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/75;1627 31 xbre;;2;25 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/76;1627 14 Decembre;1;48;24,6 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/77;1627 31 xbre;;2;29,2 x 20;Lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/78;vers 1627;;2;34,5 x 23,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/28/79;1627;;1;29,9 x 20,8;Lacune bord sup‚rieur;;;;;;;;;;;;;;;;;;
;4300/29 (1)          1628-1629;;1628-1629;;152;Ms 4300/29/1;1628 7 Janvier;;4;25,7 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/2;1628 18 Janvier;;1;25,4 x 17,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/3;1628 26 Janv;;2;26,6 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/4;1628 4 Fev;;2;26,5 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/5;1628 12 Fev;;3;27,4 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/6;1628 13 Fev;;2;26,8 x 20,2;;;;;;;;;;;;;;;;;;;
